Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Master,Miss,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Emb_C,Emb_Q,Emb_S,Fare_round
0,3,0,25.0,0,0,7.65,0,0,0,0,0,0,0,1,0,0,0,0,1,8.0
0,3,0,29.952084517899863,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,29.952125548674772,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,2,0,0.83,0,2,29.0,1,0,0,0,0,0,0,0,0,0,0,0,1,29.0
1,3,1,30.0,0,0,12.475,0,1,0,0,0,0,0,0,0,0,0,0,1,12.0
0,3,0,22.0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
1,3,0,29.0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
1,3,1,22.525830701804438,0,0,7.7875,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
0,1,0,28.0,0,0,47.1,0,0,0,0,0,0,0,0,0,0,0,0,1,47.0
1,2,1,17.0,0,0,10.5,0,1,0,0,0,0,0,0,0,0,0,0,1,10.0
1,3,1,33.0,3,0,15.85,0,0,0,0,0,0,0,0,0,0,0,0,1,16.0
0,3,0,16.0,1,3,34.375,0,0,0,0,0,0,0,0,0,0,0,0,1,34.0
0,3,0,29.952125548674772,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,1,1,23.0,3,2,263.0,0,1,0,0,1,0,0,0,0,0,0,0,1,263.0
0,3,0,24.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,29.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,20.0,0,0,7.8542,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,1,0,46.0,1,0,61.175,0,0,0,0,0,0,1,0,0,0,0,0,1,61.0
0,3,0,26.0,1,2,20.575,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0
0,3,0,59.0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,3,0,29.952125548674772,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,1,0,71.0,0,0,34.6542,0,0,1,0,0,0,0,0,0,0,1,0,0,35.0
1,1,0,23.0,0,1,63.3583,0,0,0,0,0,1,0,0,0,0,1,0,0,63.0
1,2,1,34.0,0,1,23.0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0
0,2,0,34.0,1,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
0,3,1,28.0,0,0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,29.952084517899863,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,1,0,21.0,0,1,77.2875,0,0,0,0,0,1,0,0,0,0,0,0,1,77.0
0,3,0,33.0,0,0,8.6542,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
0,3,0,37.0,2,0,7.925,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,28.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,3,1,21.0,0,0,7.65,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
1,3,0,25.77686623622263,0,0,7.775,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,38.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,3,1,20.27956720575201,1,0,24.15,0,1,0,0,0,0,0,0,0,0,0,1,0,24.0
0,1,0,47.0,0,0,52.0,0,0,0,0,1,0,0,0,0,0,0,0,1,52.0
0,3,1,14.5,1,0,14.4542,0,1,0,0,0,0,0,0,0,0,1,0,0,14.0
0,3,0,22.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,1,20.0,1,0,9.825,0,1,0,0,0,0,0,0,0,0,0,0,1,10.0
0,3,1,17.0,0,0,14.4583,0,1,0,0,0,0,0,0,0,0,1,0,0,14.0
0,3,0,21.0,0,0,7.925,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,70.5,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
0,2,0,29.0,1,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0
0,1,0,24.0,0,1,247.5208,0,0,0,1,0,0,0,0,0,0,1,0,0,248.0
0,3,1,2.0,4,2,31.275,0,1,0,0,0,0,0,0,0,0,0,0,1,31.0
0,2,0,21.0,2,0,73.5,0,0,0,0,0,0,0,0,0,0,0,0,1,74.0
0,3,0,29.952125548674772,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,2,0,32.5,1,0,30.0708,0,0,0,0,0,0,0,0,0,0,1,0,0,30.0
1,2,1,32.5,0,0,13.0,0,1,0,0,0,0,1,0,0,0,0,0,1,13.0
0,1,0,54.0,0,1,77.2875,0,0,0,0,0,1,0,0,0,0,0,0,1,77.0
1,3,0,12.0,1,0,11.2417,1,0,0,0,0,0,0,0,0,0,1,0,0,11.0
0,3,0,35.57297546188704,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
1,3,0,24.0,0,0,7.1417,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
1,3,1,8.23529623212007,1,1,22.3583,0,1,0,0,0,0,0,1,0,0,1,0,0,22.0
0,3,0,45.0,0,0,6.975,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,3,0,33.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0
0,3,0,20.0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,3,1,47.0,1,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0
1,2,1,29.0,1,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
0,2,0,25.0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
0,2,0,23.0,0,0,15.0458,0,0,0,0,0,0,0,0,0,0,1,0,0,15.0
1,1,1,19.0,0,2,26.2833,0,1,0,0,0,1,0,0,0,0,0,0,1,26.0
0,1,0,37.0,1,0,53.1,0,0,0,0,1,0,0,0,0,0,0,0,1,53.0
0,3,0,16.0,0,0,9.2167,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
0,1,0,24.0,0,0,79.2,0,0,0,1,0,0,0,0,0,0,1,0,0,79.0
0,3,1,31.585390324372668,0,2,15.2458,0,0,0,0,0,0,0,0,0,0,1,0,0,15.0
1,3,1,22.0,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
1,3,1,24.0,1,0,15.85,0,0,0,0,0,0,0,0,0,0,0,0,1,16.0
0,3,0,19.0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0
0,2,0,18.0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0
0,2,0,19.0,1,1,36.75,0,0,0,0,0,0,0,0,0,0,0,0,1,37.0
1,3,0,27.0,0,0,7.7958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,1,9.0,2,2,34.375,0,1,0,0,0,0,0,0,0,0,0,0,1,34.0
0,2,0,36.5,0,2,26.0,0,0,0,0,0,0,0,1,0,0,0,0,1,26.0
0,2,0,42.0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
0,2,0,51.0,0,0,12.525,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
1,1,1,22.0,1,0,66.6,0,0,0,0,1,0,0,0,0,0,0,0,1,67.0
0,3,0,55.5,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,40.5,0,2,14.5,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0
0,3,0,29.951929308749378,0,0,7.3125,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,1,0,51.0,0,1,61.3792,0,0,0,0,0,0,0,0,0,0,1,0,0,61.0
1,3,1,16.0,0,0,7.7333,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
0,3,0,30.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,29.95228852759586,0,0,8.6625,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
0,3,0,-9.254726716429992,8,2,69.55,1,0,0,0,0,0,0,0,0,0,0,0,1,70.0
0,3,0,44.0,0,1,16.1,0,0,0,0,0,0,0,0,0,0,0,0,1,16.0
1,2,1,40.0,0,0,15.75,0,0,0,0,0,0,0,0,0,0,0,0,1,16.0
0,3,0,26.0,0,0,7.775,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,17.0,0,0,8.6625,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
0,3,0,1.0,4,1,39.6875,1,0,0,0,0,0,0,0,0,0,0,0,1,40.0
1,3,0,9.0,0,2,20.525,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0
1,1,1,45.974521879598676,0,1,55.0,0,0,0,0,0,0,1,0,0,0,0,0,1,55.0
0,3,1,45.0,1,4,27.9,0,0,0,0,0,0,0,0,0,0,0,0,1,28.0
0,1,0,42.34379795974369,0,0,25.925,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
0,3,0,28.0,0,0,56.4958,0,0,0,0,0,0,0,0,0,0,0,0,1,56.0
0,1,0,61.0,0,0,33.5,0,0,0,1,0,0,0,0,0,0,0,0,1,34.0
0,3,0,4.0,4,1,29.125,1,0,0,0,0,0,0,0,0,0,0,1,0,29.0
1,3,1,1.0,1,1,11.1333,0,1,0,0,0,0,0,0,0,0,0,0,1,11.0
0,3,0,21.0,0,0,7.925,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,1,0,56.0,0,0,30.6958,0,0,1,0,0,0,0,0,0,0,1,0,0,31.0
0,3,0,18.0,1,1,7.8542,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,2.3355886000251473,3,1,25.4667,1,0,0,0,0,0,0,0,0,0,0,0,1,25.0
0,1,1,50.0,0,0,28.7125,0,1,0,0,1,0,0,0,0,0,1,0,0,29.0
0,2,0,30.0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
0,3,0,36.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,3,1,2.3936653754759405,8,2,69.55,0,1,0,0,0,0,0,0,0,0,0,0,1,70.0
0,2,0,34.09136451981167,0,0,15.05,0,0,0,0,0,0,0,0,0,0,1,0,0,15.0
0,3,0,9.0,4,2,31.3875,1,0,0,0,0,0,0,0,0,0,0,0,1,31.0
1,2,0,1.0,2,1,39.0,1,0,0,0,0,0,0,1,0,0,0,0,1,39.0
1,3,1,4.0,0,2,22.025,0,1,0,0,0,0,0,0,0,0,0,0,1,22.0
0,1,0,50.24904990946779,0,0,50.0,0,0,1,0,0,0,0,0,0,0,0,0,1,50.0
1,3,1,33.53458298769427,1,0,15.5,0,0,0,0,0,0,0,0,0,0,0,1,0,16.0
1,1,0,45.0,0,0,26.55,0,0,0,0,0,0,0,0,0,0,0,0,1,27.0
0,3,0,40.0,1,1,15.5,0,0,0,0,0,0,0,0,0,0,0,1,0,16.0
0,3,0,36.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,2,1,32.0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
0,2,0,19.0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
1,3,1,19.0,1,0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
1,2,0,3.0,1,1,26.0,1,0,0,0,0,0,0,1,0,0,0,0,1,26.0
1,1,1,44.0,0,0,27.7208,0,0,0,1,0,0,0,0,0,0,1,0,0,28.0
1,1,1,58.0,0,0,146.5208,0,1,0,1,0,0,0,0,0,0,1,0,0,147.0
0,3,0,35.57297546188704,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
0,3,0,42.0,0,1,8.4042,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,3,1,22.525820723503145,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
0,2,1,24.0,0,0,13.0,0,1,0,0,0,0,0,0,0,0,0,0,1,13.0
0,3,0,28.0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
0,3,0,11.26563397561717,8,2,69.55,0,0,0,0,0,0,0,0,0,0,0,0,1,70.0
0,3,0,34.0,0,0,6.4958,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0
0,3,0,45.5,0,0,7.225,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
1,3,0,18.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,1,2.0,0,1,10.4625,0,1,0,0,0,0,0,0,1,0,0,0,1,10.0
0,3,0,32.0,1,0,15.85,0,0,0,0,0,0,0,0,0,0,0,0,1,16.0
1,3,0,26.0,0,0,18.7875,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0
1,3,1,16.0,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
1,1,0,40.0,0,0,31.0,0,0,1,0,0,0,0,0,0,0,1,0,0,31.0
0,3,0,24.0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
1,2,1,35.0,0,0,21.0,0,1,0,0,0,0,0,0,0,0,0,0,1,21.0
0,3,0,22.0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,2,0,30.0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
0,3,0,33.32235810037116,1,0,7.75,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
1,1,1,31.0,1,0,113.275,0,1,0,0,0,1,0,0,0,0,1,0,0,113.0
1,3,1,27.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
0,2,0,42.0,1,0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.0
1,1,1,32.0,0,0,76.2917,0,1,0,0,0,1,0,0,0,0,1,0,0,76.0
0,2,0,30.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
1,3,0,16.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,2,0,27.0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
0,3,0,51.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,3,0,29.952084517899863,0,0,7.8958,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,1,0,38.0,1,0,90.0,0,0,0,0,1,0,0,0,0,0,0,0,1,90.0
0,3,0,22.0,0,0,9.35,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0
1,2,0,19.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
0,3,0,20.5,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,2,0,18.0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0
0,3,1,13.983980691931087,3,1,25.4667,0,1,0,0,0,0,0,0,0,0,0,0,1,25.0
1,1,1,35.0,1,0,83.475,0,0,0,0,1,0,0,0,0,0,0,0,1,83.0
0,3,0,29.0,0,0,7.775,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
0,2,0,59.0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0
1,3,1,5.0,4,2,31.3875,0,1,0,0,0,0,0,0,0,0,0,0,1,31.0
0,2,0,24.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
0,3,1,21.08002390451633,0,0,7.55,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
0,2,0,44.0,1,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
1,2,1,8.0,0,2,26.25,0,1,0,0,0,0,0,0,0,0,0,0,1,26.0
0,2,0,19.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
0,2,0,33.0,0,0,12.275,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0
0,3,1,16.77516197917695,1,0,14.4542,0,1,0,0,0,0,0,0,0,0,1,0,0,14.0
1,3,1,20.277265544254142,1,0,15.5,0,1,0,0,0,0,0,0,0,0,0,1,0,16.0
0,2,0,29.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
0,3,0,22.0,0,0,7.125,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,3,0,30.0,0,0,7.225,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
0,1,0,44.0,2,0,90.0,0,0,0,0,1,0,0,0,0,0,0,1,0,90.0
0,3,1,25.0,0,0,7.775,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
1,2,1,24.0,0,2,14.5,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0
1,1,0,37.0,1,1,52.5542,0,0,0,0,0,1,0,0,0,0,0,0,1,53.0
0,2,0,54.0,1,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
0,3,0,29.95191267824722,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
0,3,1,29.0,1,1,10.4625,0,0,0,0,0,0,0,0,1,0,0,0,1,10.0
0,1,0,62.0,0,0,26.55,0,0,0,0,1,0,0,0,0,0,0,0,1,27.0
0,3,0,30.0,1,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,1,16.0
0,3,1,41.0,0,2,20.2125,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0
1,3,1,29.0,0,2,15.2458,0,0,0,0,0,0,0,0,0,0,1,0,0,15.0
1,1,1,40.51205481600361,0,0,79.2,0,0,0,0,0,0,0,0,0,0,1,0,0,79.0
1,1,1,30.0,0,0,86.5,0,1,0,1,0,0,0,0,0,0,0,0,1,86.0
1,1,1,35.0,0,0,512.3292,0,1,0,0,0,0,0,0,0,0,1,0,0,512.0
1,2,1,50.0,0,1,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0
0,3,0,35.57297546188704,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0
1,3,0,3.0,4,2,31.3875,1,0,0,0,0,0,0,0,0,0,0,0,1,31.0
0,1,0,52.0,1,1,79.65,0,0,0,0,0,0,1,0,0,0,0,0,1,80.0
0,1,0,40.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0
0,3,1,26.70100686174581,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
0,2,0,36.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0
0,3,0,16.0,4,1,39.6875,0,0,0,0,0,0,0,0,0,0,0,0,1,40.0
1,3,0,25.0,1,0,7.775,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
1,1,1,58.0,0,1,153.4625,0,0,0,0,1,0,0,0,0,0,0,0,1,153.0
1,1,1,35.0,0,0,135.6333,0,1,0,0,1,0,0,0,0,0,0,0,1,136.0
0,1,0,42.34514835651845,0,0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.0
1,3,0,25.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,2,1,41.0,0,1,19.5,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0
0,1,0,37.0,0,1,29.7,0,0,0,0,1,0,0,0,0,0,1,0,0,30.0
1,3,1,22.525820723503145,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,1,0,8.0
1,1,1,63.0,1,0,77.9583,0,1,0,0,0,1,0,0,0,0,0,0,1,78.0
0,3,1,45.0,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,0,1,8.0
0,2,0,36.14344158372426,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,3,0,7.0,4,1,29.125,1,0,0,0,0,0,0,0,0,0,0,1,0,29.0
1,3,1,35.0,1,1,20.25,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0
